Date,FEZ,GLD,TLT,VOO
2021-07-07,40.13352966308594,168.75999450683594,124.26874542236328,372.05059814453125
2021-07-08,39.420387268066406,168.64999389648438,124.75562286376953,369.0881652832031
2021-07-09,40.28818130493164,169.2100067138672,123.00125885009766,372.9822082519531
2021-07-12,40.502986907958984,169.0,122.84173583984375,374.33306884765625
2021-07-13,40.150718688964844,169.22000122070312,121.90156555175781,373.0660705566406
2021-07-14,40.37411117553711,171.0399932861328,123.28662109375,373.57843017578125
2021-07-15,39.91013717651367,171.07000732421875,124.64652252197266,372.3767395019531
2021-07-16,39.56644821166992,169.41000366210938,124.4114761352539,369.47943115234375
2021-07-19,38.604148864746094,169.61000061035156,127.13961029052734,363.9549560546875
2021-07-20,38.94783401489258,169.38999938964844,125.91411590576172,369.0975646972656
2021-07-21,39.69533157348633,168.75999450683594,124.31913757324219,372.19970703125
2021-07-22,39.807037353515625,169.08999633789062,125.49429321289062,372.9915466308594
2021-07-23,40.219444274902344,168.55999755859375,124.65487670898438,376.7179870605469
2021-07-26,40.305381774902344,168.16000366210938,124.28549194335938,377.677490234375
2021-07-27,40.142120361328125,168.44000244140625,125.61177825927734,376.00054931640625
2021-07-28,40.382694244384766,169.2899932861328,125.62020874023438,375.7955627441406
2021-07-29,40.6920166015625,171.1699981689453,124.92349243164062,377.4166259765625
2021-07-30,40.40847396850586,169.82000732421875,125.5110855102539,375.5720520019531
2021-08-02,40.511592864990234,169.61000061035156,126.6306381225586,374.8080749511719
2021-08-03,40.76934051513672,169.49000549316406,126.69783782958984,377.8357238769531
2021-08-04,40.78653335571289,169.52999877929688,126.95841217041016,376.0284729003906
2021-08-05,40.97555160522461,168.86000061035156,126.31120300292969,378.37615966796875
2021-08-06,40.90681838989258,164.63999938964844,124.20165252685547,379.0282287597656
2021-08-09,40.82948684692383,161.72000122070312,123.75621032714844,378.6650085449219
2021-08-10,40.88962936401367,161.77000427246094,123.18473052978516,379.1400451660156
2021-08-11,41.14739227294922,164.0,123.10911560058594,380.0529479980469
2021-08-12,41.267677307128906,164.0399932861328,122.90742492675781,381.16168212890625
2021-08-13,41.516849517822266,166.38999938964844,124.84883117675781,381.91619873046875
2021-08-16,41.276275634765625,167.22000122070312,125.1513442993164,382.82916259765625
2021-08-17,40.85526657104492,166.97000122070312,125.10100555419922,380.3045349121094
2021-08-18,40.62328338623047,167.10000610351562,125.521240234375,376.2148132324219
2021-08-19,40.193668365478516,166.61000061035156,126.44567108154297,376.7458801269531
2021-08-20,40.41707229614258,166.6999969482422,126.52973937988281,379.72698974609375
2021-08-23,40.863853454589844,168.72999572753906,126.44567108154297,383.0899658203125
2021-08-24,40.846675872802734,168.64999389648438,125.4623031616211,383.695556640625
2021-08-25,40.88962936401367,167.47999572753906,124.4201889038086,384.403564453125
2021-08-26,40.6920166015625,167.6699981689453,124.7647476196289,382.1584167480469
2021-08-27,41.130210876464844,170.19000244140625,125.61365509033203,385.54937744140625
2021-08-30,41.19894790649414,169.35000610351562,125.94139862060547,387.31939697265625
2021-08-31,41.19035339355469,169.69000244140625,125.0841293334961,386.6579895019531
2021-09-01,41.585575103759766,169.6999969482422,125.29370880126953,387.0679931640625
2021-09-02,41.74025344848633,169.25,125.84066772460938,388.22308349609375
2021-09-03,41.47389221191406,171.05999755859375,124.69618225097656,388.0740051269531
2021-09-07,41.525447845458984,167.7100067138672,123.6443099975586,386.639404296875
2021-09-08,41.06147766113281,167.2899932861328,124.48582458496094,386.26678466796875
2021-09-09,40.95836639404297,168.02999877929688,125.99219512939453,384.53399658203125
2021-09-10,40.820892333984375,167.17999267578125,124.88136291503906,381.5621337890625
2021-09-13,41.19894790649414,167.74000549316406,125.63870239257812,382.4565124511719
2021-09-14,41.070072174072266,168.82000732421875,127.16191101074219,380.4721984863281
2021-09-15,41.00132369995117,167.8300018310547,126.71590423583984,383.6489562988281
2021-09-16,41.027103424072266,164.02999877929688,126.13520812988281,382.9875793457031
2021-09-17,40.339744567871094,163.77000427246094,125.52935791015625,379.23321533203125
2021-09-20,39.43202209472656,164.94000244140625,127.08614349365234,373.0381774902344
2021-09-21,39.94826126098633,166.0399932861328,126.97676849365234,372.6747741699219
2021-09-22,40.44728469848633,165.4199981689453,127.73407745361328,376.270751953125
2021-09-23,41.02375411987305,163.50999450683594,124.84772491455078,380.81695556640625
2021-09-24,40.60215377807617,163.3000030517578,123.62750244140625,381.4503479003906
2021-09-27,40.61936950683594,163.63999938964844,123.1730728149414,380.36968994140625
2021-09-28,39.578285217285156,162.0500030517578,121.25436401367188,372.7679748535156
2021-09-29,39.36319351196289,161.32000732421875,121.4648208618164,373.35491943359375
2021-09-30,38.967411041259766,164.22000122070312,121.44795227050781,368.6255187988281
2021-10-01,39.17390441894531,164.58999633789062,122.47003936767578,373.0371398925781
2021-10-04,38.829742431640625,165.36000061035156,122.15824127197266,368.447998046875
2021-10-05,39.199710845947266,164.58999633789062,120.97866821289062,372.02764892578125
2021-10-06,38.92438507080078,165.02999877929688,121.6611328125,373.6820068359375
2021-10-07,39.36319351196289,164.16000366210938,120.38886260986328,376.8972473144531
2021-10-08,39.25994110107422,164.22999572753906,119.54623413085938,376.1868591308594
2021-10-11,39.01042556762695,163.9199981689453,119.24287414550781,373.4483642578125
2021-10-12,38.98461151123047,164.66000366210938,121.28193664550781,372.70062255859375
2021-10-13,39.56968307495117,167.58999633789062,122.46161651611328,373.89697265625
2021-10-14,40.18916702270508,168.0,122.9166259765625,380.1778869628906
2021-10-15,40.4989128112793,165.3300018310547,122.20037078857422,383.1406555175781
2021-10-18,40.24079513549805,164.9199981689453,122.77333068847656,384.3089904785156
2021-10-19,40.404266357421875,165.4499969482422,121.07971954345703,387.2999267578125
2021-10-20,40.55913543701172,166.89999389648438,120.26244354248047,388.80462646484375
2021-10-21,40.43867874145508,166.75,120.1192398071289,389.7580261230469
2021-10-22,40.74843215942383,167.77000427246094,121.44204711914062,389.3654479980469
2021-10-25,40.5677490234375,168.92999267578125,121.25672912597656,391.38427734375
2021-10-26,40.817256927490234,167.67999267578125,122.25940704345703,391.75811767578125
2021-10-27,40.722618103027344,168.1199951171875,124.48381042480469,390.0571594238281
2021-10-28,41.22164535522461,168.0800018310547,124.0625228881836,393.8704833984375
2021-10-29,41.08397674560547,166.64999389648438,124.44169616699219,394.5714416503906
2021-11-01,41.48836135864258,167.52000427246094,123.54572296142578,395.4032897949219
2021-11-02,41.522789001464844,167.16000366210938,124.09407806396484,396.9361267089844
2021-11-03,41.93578338623047,165.77000427246094,122.81171417236328,399.328857421875
2021-11-04,41.85834503173828,167.64999389648438,124.10256958007812,401.1981201171875
2021-11-05,42.15948486328125,169.83999633789062,125.9585189819336,402.5627136230469
2021-11-08,42.125064849853516,170.4499969482422,125.72233581542969,403.0487976074219
2021-11-09,42.11646270751953,171.2899932861328,127.3590316772461,401.63739013671875
2021-11-10,41.51417922973633,173.14999389648438,125.03057098388672,398.40350341796875
2021-11-11,41.64323425292969,174.1199951171875,124.844970703125,398.53436279296875
2021-11-12,41.75509262084961,174.4499969482422,124.29656982421875,401.4971923828125
2021-11-15,41.53998947143555,174.17999267578125,122.73580932617188,401.68408203125
2021-11-16,41.53998947143555,172.9199981689453,122.42364501953125,403.21697998046875
2021-11-17,41.54860305786133,174.5,123.393798828125,402.2448425292969
2021-11-18,41.66044998168945,173.94000244140625,123.85782623291016,403.6376037597656
2021-11-19,40.989341735839844,172.61000061035156,125.16551971435547,402.8804016113281
2021-11-22,40.533329010009766,168.74000549316406,123.69756317138672,401.81494140625
2021-11-23,40.43008041381836,167.27999877929688,121.90900421142578,402.33831787109375
2021-11-24,40.07732391357422,167.1199951171875,123.86625671386719,403.3290710449219
2021-11-26,38.700679779052734,166.85000610351562,126.99632263183594,394.5527038574219
2021-11-29,38.829742431640625,166.6199951171875,125.97545623779297,399.3194580078125
2021-11-30,38.51999282836914,165.5,127.89055633544922,391.6740417480469
2021-12-01,38.54580307006836,166.16000366210938,128.67942810058594,387.1689758300781
2021-12-02,38.950191497802734,165.24000549316406,128.83998107910156,393.07598876953125
2021-12-03,38.55441665649414,166.6300048828125,130.3772430419922,389.5991516113281
2021-12-06,39.062049865722656,166.22000122070312,128.5865478515625,394.2536315917969
2021-12-07,40.19777297973633,166.80999755859375,127.54757690429688,402.3570251464844
