Date,AGG,EFA,GLD,TLT,VOO
2016-03-08,81.49491882324219,40.679012298583984,120.58000183105469,96.62395477294922,152.61610412597656
2016-03-09,81.45781707763672,40.83226013183594,119.58000183105469,96.03672790527344,153.45504760742188
2016-03-10,81.49491882324219,40.76658248901367,121.5,95.6427230834961,153.5389404296875
2016-03-11,81.34632110595703,41.832088470458984,119.41000366210938,94.67634582519531,156.03065490722656
2016-03-14,81.39093017578125,41.744510650634766,117.87000274658203,94.97369384765625,155.79579162597656
2016-03-15,81.31655883789062,41.35041809082031,117.95999908447266,95.06292724609375,155.5944061279297
2016-03-16,81.66594696044922,41.71532440185547,120.58999633789062,95.3453598022461,156.52560424804688
2016-03-17,81.83697509765625,42.03642654418945,120.12999725341797,95.7393798828125,157.51564025878906
2016-03-18,81.90387725830078,41.96345138549805,119.80000305175781,95.9400405883789,158.10292053222656
2016-03-21,81.72543334960938,41.89776611328125,118.95999908447266,95.20413208007812,158.3441619873047
2016-03-22,81.67338562011719,41.82478713989258,119.30999755859375,95.18184661865234,158.2598419189453
2016-03-23,81.85184478759766,41.4015007019043,116.61000061035156,96.25972747802734,157.2476348876953
2016-03-24,81.85926055908203,41.12417984008789,116.33000183105469,96.29686737060547,157.13796997070312
2016-03-28,81.91869354248047,41.37230682373047,116.5999984741211,96.4232406616211,157.2476348876953
2016-03-29,82.16404724121094,41.81748580932617,118.76000213623047,97.43426513671875,158.75743103027344
2016-03-30,82.13431549072266,42.13130187988281,117.0999984741211,96.40845489501953,159.42381286621094
2016-03-31,82.39449310302734,41.71532440185547,117.63999938964844,97.09233856201172,159.04425048828125
2016-04-01,82.32148742675781,41.2701416015625,116.93000030517578,97.34557342529297,160.06478881835938
2016-04-04,82.4034194946289,41.18256378173828,116.1500015258789,97.40515899658203,159.5587921142578
2016-04-05,82.51525115966797,40.372493743896484,117.66000366210938,98.47039794921875,157.9392547607422
2016-04-06,82.50032806396484,41.02930450439453,116.94000244140625,97.75531005859375,159.66000366210938
2016-04-07,82.67910766601562,40.430870056152344,118.61000061035156,98.9620590209961,157.77903747558594
2016-04-08,82.5971450805664,41.20446014404297,118.43000030517578,98.33631134033203,158.2091827392578
2016-04-11,82.65673828125,41.22635269165039,120.02999877929688,98.20964050292969,157.79591369628906
2016-04-12,82.52265167236328,41.83938217163086,120.05000305175781,97.53180694580078,159.33094787597656
2016-04-13,82.55989074707031,42.503501892089844,118.7699966430664,97.87447357177734,160.92514038085938
2016-04-14,82.4183349609375,42.64216232299805,117.11000061035156,97.40515899658203,160.9082489013672
2016-04-15,82.64926147460938,42.54729461669922,117.91999816894531,98.23949432373047,160.73110961914062
2016-04-18,82.6418228149414,42.91218566894531,117.73999786376953,97.81488800048828,161.89512634277344
2016-04-19,82.63439178466797,43.65658950805664,119.58000183105469,97.50943756103516,162.38438415527344
2016-04-20,82.43326568603516,43.693077087402344,118.97000122070312,96.4367446899414,162.51925659179688
2016-04-21,82.32148742675781,43.43034362792969,119.41999816894531,95.86321258544922,161.6167755126953
